internal_client_id,product_id,product_name,product_ean,category,sub_category,store_name,store_type,city_name,stock_quantity
310mee980,562333," 2 in 1 Baby Feeding Cup with Spout and Straw (250 ml, Blue) 1 unit - Rs 329",,Baby Care,Feeding Essentials,Guwahati G1 - Feeder Warehouse,WAREHOUSE,Guwahati,6
310mee980,539696, Disposable Breast Pad (Ultra Thin & Super Absorbent) 1 pack 48 (pieces) - Rs 429,,Baby Care,Mom Care Needs,SS Bengaluru F&V CPC 3 HP - Warehouse,WAREHOUSE,SS,0
310mee980,561099, Soft Silicone Teether for Babies (Multi-Textured) (Orange) 1.0 unit - Rs 249.0,,Baby Care,Feeding Essentials,Super Store Jaipur J2 - Warehouse,RETAIL_STORE,Jaipur,0
310mee980,549495, Baby Pacifier Soft Silicone Nipple (Red & Blue) 1 pack (2 pieces) - Rs 229,,Baby Care,Feeding Essentials,Super Store Gurgaon G7 Ecom - Warehouse,WAREHOUSE,Gurgaon,0
310mee980,477349, Nail Clipper(Pack) 1 unit - Rs 229,,Baby Care,Hygiene,Nagpur N1 - Feeder Warehouse,WAREHOUSE,Nagpur,0
310mee980,549495, Baby Pacifier Soft Silicone Nipple (Red & Blue) 1 pack (2 pieces) - Rs 229,,Baby Care,Feeding Essentials,Dasna D3 - Feeder Warehouse,WAREHOUSE,Dasna,97
310mee980,549841," Microfibre Baby Bath Towel (Multicolour, 0 - 3 years) 1 unit - Rs 599",,Baby Care,Baby Accessories,Super Store Dasna 2 - Warehouse,RETAIL_STORE,Dasna,34
310mee980,445285, Caring Baby Wipes with Aloe Vera - Pack of 3(Packet) 216 piece - Rs 297.0,,Baby Care,Baby Wipes,Farukhnagar F2 - Feeder Warehouse,RETAIL_STORE,Farukhnagar,171
310mee980,497414, Gentle Wet Baby Wipes with Aloe Vera - Pack of 5(Packet) 5 piece - Rs 495.0,,Baby Care,Baby Wipes,Dehradun - Feeder Warehouse,RETAIL_STORE,Dehradun,21
310mee980,540002, Anti-Bacterial Baby Liquid Cleanser (Refill) 500 ml - Rs 349,,Baby Care,Hygiene,Surat S1 - Feeder Warehouse,RETAIL_STORE,Surat,62
